Customer Account,Customer Bank,Amount of Transfer,Offshore Transfer,Customer Account Age,Customer Nationality,Suspicious activity found in previous transactions,KYC Complied,Receivers Account,Receivers Bank,Frequency of transaction in last 30 days,Source country,Receiving country,Transaction Type,Average Transaction Amount,Transaction Amount Relative to Average,Is Laundering
F89CA5819,1,27047.2,0,20.37,UK,0,1,3A28546D8,10,7.0,USA,USA,ACH,59735.7,0.5487696401495599,0
F89CA5819,1,18846.02,1,26.15,India,0,0,6DB2DD325,78,9.0,USA,UK,Bitcoin,46105.806666666664,0.3292861259374993,0
F89CA5819,1,18848.25,0,12.56,USA,0,1,D11415897,24,3.0,USA,USA,Credit Card,39291.417499999996,0.45924668338061914,0
B55B93555,1,4765.73,1,26.86,USA,1,0,343F911D0,85,4.0,India,UK,ACH,4765.73,0.9547224202270878,0
B55B93555,1,4105.47,0,4.65,USA,0,1,BF9566D71,30,7.0,India,India,Wire,4435.6,0.9648630474972892,0
B55B93555,1,33208.71,1,21.74,Canada,0,1,050C67AA3,81,7.0,India,UK,Wire,14026.636666666667,2.351440004431044,0
B55B93555,1,9905.69,1,7.69,UK,0,0,CDD8F0EA9,64,9.0,India,USA,ACH,12996.400000000001,0.8076004909421067,0
B55B93555,1,8632.81,1,11.88,UK,0,1,FB0B774E1,67,0.01,India,UK,Reinvestment,12123.682,0.6673221420847696,0
B55B93555,1,2016.96,1,2.26,UK,0,1,6ACE98516,36,7.0,India,UK,Wire,10439.228333333334,0.19509182525863827,0
B55B93555,1,66139.17,1,13.31,UK,0,1,D5B66A464,86,7.0,India,UK,Credit Card,18396.36285714286,3.5517298122785492,0
9A020EDCE,1,17052.37,1,17.49,Canada,0,0,1A6BB4C60,72,5.0,UK,USA,ACH,17052.37,1.0329427599172252,1
9A020EDCE,1,35899.89,1,8.02,India,0,1,9C2D3DFF5,19,6.0,UK,USA,Credit Card,26476.129999999997,1.290250503549801,0
9A020EDCE,1,16785.3,1,22.68,UK,0,1,92198A558,94,4.0,UK,USA,Reinvestment,23245.853333333333,0.7670965046892135,0
9A020EDCE,1,6957.25,1,20.05,Canada,0,1,A6BE8726A,97,6.0,UK,India,ACH,19173.7025,0.3312583564919322,0
9A020EDCE,1,179381.92,1,16.72,Canada,0,0,F067D120E,87,5.0,UK,Canada,ACH,51215.346000000005,3.596337361844788,0
9A020EDCE,1,3551.06,0,10.03,Canada,0,0,E5F03E6A3,19,5.0,UK,UK,Credit Card,43271.29833333333,0.0680639209287342,1
0685033E1,1,70087.72,0,3.18,Canada,0,1,D77D23092,6,3.0,USA,USA,ACH,70087.72,0.9444924014416599,0
0685033E1,1,45791.72,1,1.94,UK,0,0,637824F43,20,4.0,USA,India,Wire,57939.72,0.8036178692643883,0
0685033E1,1,17168.73,0,18.36,Canada,0,1,5612F7F94,78,7.0,USA,USA,ACH,44349.39000000001,0.4767047852905274,1
0685033E1,1,40467.91,1,6.22,India,0,1,0AB6D5118,34,8.0,USA,India,ACH,43379.020000000004,0.9886837917774838,0
0685033E1,1,42634.95,1,19.12,UK,0,1,73F5D16F8,80,4.0,USA,UK,ACH,43230.206000000006,0.9652072368775408,0
0685033E1,1,140693.08,0,21.58,USA,0,1,99A3A3F2B,42,6.0,USA,USA,Wire,59474.01833333333,2.32517674930145,0
0685033E1,1,143989.55,1,11.4,USA,0,0,A6D4B7696,64,6.0,USA,UK,Credit Card,71547.66571428571,1.943431101160704,1
0685033E1,1,1443.16,0,11.24,USA,0,1,C2D0525AB,56,7.0,USA,USA,Credit Card,62784.60249999999,0.07151356750758296,0
807EE9794,1,26508.71,0,2.81,Canada,0,1,CC9004D27,78,1.0,India,India,Credit Card,26508.71,1.093964373688013,0
807EE9794,1,21610.65,1,25.53,UK,0,1,E381E540E,49,2.0,India,UK,ACH,24059.68,0.881589834281347,0
807EE9794,1,92350.22,1,5.07,UK,0,1,930238A50,11,4.0,India,UK,Credit Card,46823.193333333336,1.8928498612261402,0
807EE9794,1,9891.51,1,22.02,India,0,0,461698C6F,97,4.0,India,UK,Bitcoin,37590.27250000001,0.2931526830103056,0
807EE9794,1,23243.1,1,17.34,USA,0,1,2E0C301CC,42,4.0,India,USA,ACH,34720.838,0.64573739980804,0
807EE9794,1,415173.56,1,18.8,India,0,1,686ABF712,40,5.0,India,UK,Credit Card,98129.625,4.143625821420515,0
807EE9794,1,7805.15,1,9.11,USA,0,1,35F9CC4B1,52,3.0,India,UK,Wire,85226.12857142858,0.052526289946588464,0
807EE9794,1,13926.37,1,3.51,Switzerland,1,1,D96DD9DA6,68,9.0,India,USA,ACH,76313.65875,0.12606728993218036,1
AE5D3CFAA,1,11945.62,0,6.94,UK,0,1,8AAA7E405,3,3.0,India,India,Reinvestment,11945.62,1.0936902842877856,0
AE5D3CFAA,1,111462.41,1,12.08,UK,0,1,D251D89DD,88,3.0,India,USA,Credit Card,61704.015,1.821078560736518,0
AE5D3CFAA,1,8410.71,1,14.75,India,0,0,13D6618CF,74,5.0,India,USA,Credit Card,43939.579999999994,0.1420150425529622,0
AE5D3CFAA,1,14026.31,1,13.93,Canada,0,1,382264A1B,58,5.0,India,USA,Credit Card,36461.2625,0.45861064032228804,0
AE5D3CFAA,1,2360.04,1,1.62,UAE,0,0,E9256800B,52,2.0,India,UAE,Credit Card,29641.018,0.17565424258681012,0
AE5D3CFAA,1,61355.74,0,20.24,UK,0,1,768A6A364,68,3.0,India,India,Credit Card,34926.805,1.6898608624159102,0
AE5D3CFAA,1,38860.26,0,10.06,India,0,1,FF762095D,15,6.0,India,India,Credit Card,35488.72714285714,1.127171746681837,0
AF4BE109B,1,9763.43,0,10.27,USA,0,1,DEF5137F1,98,4.0,UK,UK,Bitcoin,9763.43,1.0657418043113691,0
AF4BE109B,1,2963.76,0,27.19,USA,1,1,9FF7243FC,21,3.0,UK,UK,ACH,6363.595,0.3830867810324687,1
AF4BE109B,1,16351.92,1,25.6,USA,0,0,8BFFB4019,6,4.0,UK,Canada,Credit Card,9693.036666666667,1.643703580970743,1
AF4BE109B,1,15526.76,1,24.03,UAE,0,1,668439F40,34,7.0,UK,USA,ACH,11151.4675,1.4783862375222785,0
7B017E3F6,1,16032.01,1,29.37,UK,0,1,D9E39359D,83,3.0,USA,UK,Wire,16032.01,0.9947181623557233,0
7B017E3F6,1,17575.24,1,24.29,Canada,0,0,5D48EC356,13,8.0,USA,India,Wire,16803.625,1.0576232205425748,1
7B017E3F6,1,37630.75,1,15.01,USA,0,1,0B8108543,88,2.0,USA,India,Credit Card,23746.0,1.5857421129057747,0
7B017E3F6,1,3709.28,1,15.24,UK,1,1,9FAFA820E,6,6.0,USA,UK,ACH,18736.82,0.10890585647656975,0
7B017E3F6,1,80094.17,1,5.1,USA,0,1,B3B64C823,99,9.0,USA,Canada,ACH,31008.29,2.579936843711306,0
7B017E3F6,1,33190.54,1,1.38,UK,0,1,262719C61,27,5.0,USA,India,Credit Card,31371.998333333337,1.0560579046410368,0
7B017E3F6,1,10743.58,1,14.49,India,0,1,5D9CDA497,60,7.0,USA,UK,ACH,28425.08142857143,0.36335006799544234,0
7B017E3F6,1,40916.75,0,28.04,USA,0,1,AC6704956,96,9.0,USA,USA,ACH,29986.54,1.2796622929218915,0
7B017E3F6,1,65300.85,1,7.19,India,0,0,E71449A78,90,5.0,USA,UK,Bitcoin,33910.352222222224,1.8889361480034565,0
3E057922B,1,29285.89,1,18.22,India,0,1,B08695DA7,22,8.0,India,USA,ACH,29285.89,1.0505583378709171,0
3E057922B,1,19058.67,1,1.98,UK,0,1,FFBD8C3FA,62,4.0,India,UAE,Bitcoin,24172.28,0.7057912474135777,0
3E057922B,1,6561.67,1,2.34,UK,0,1,0E9C477D0,94,6.0,India,USA,ACH,18302.076666666664,0.44004697861963094,0
3E057922B,1,3599.94,1,24.21,UK,1,1,313217C60,78,3.0,India,UAE,Wire,14626.5425,0.28570979129851354,1
2C7A09FF3,1,187987.45,0,25.38,USA,1,0,CD4D47C67,80,10.0,India,India,Wire,187987.45,0.951928025622546,1
2C7A09FF3,1,10817.35,1,20.31,UK,1,0,EAC74F6D7,31,4.0,India,UK,Reinvestment,99402.40000000001,0.08873044751414397,0
2C7A09FF3,1,10058.83,0,14.2,UK,0,0,E49927A8C,79,2.0,India,India,Credit Card,69621.21,0.1814371688479091,0
2C7A09FF3,1,54898.72,1,18.83,USA,0,0,E138064DC,96,9.0,India,USA,ACH,65940.5875,0.8508307961558441,0
2C7A09FF3,1,35504.74,1,19.33,UK,0,1,BACE19B08,90,2.0,India,USA,Wire,59853.41799999999,0.6314674560036578,0
2C7A09FF3,1,15137.9,1,27.14,India,0,0,D7F7930F7,65,8.0,India,UK,Credit Card,52400.831666666665,0.27736378366913045,1
2C7A09FF3,1,5669.68,0,17.73,USA,0,1,77B69D382,54,4.0,India,India,Reinvestment,45724.95285714285,0.04582885197851849,1
2C7A09FF3,1,6105.31,1,15.22,USA,0,1,675A71BD8,89,5.0,India,UK,Credit Card,40772.4975,0.21711084227291905,0
2C7A09FF3,1,38528.66,1,21.18,USA,0,1,B8B3211DE,8,6.0,India,USA,Wire,40523.182222222225,1.0111639043448002,0
2C7A09FF3,1,72051.99,1,19.66,UK,0,0,05D48FC42,85,10.0,India,UK,ACH,43676.063,1.6551525660323492,0
DF9D79089,1,1113.05,1,14.95,Canada,0,0,752FF6CAF,37,6.0,UK,India,ACH,1113.05,1.0517174664413171,0
DF9D79089,1,8946.73,0,8.93,Canada,0,0,770D3C3CD,87,5.0,UK,UK,Wire,5029.889999999999,1.854501314147924,0
DF9D79089,1,38208.43,1,2.46,USA,0,1,EA246599E,55,4.0,UK,USA,Reinvestment,16089.403333333334,2.3954733899523286,0
DF9D79089,1,1101.93,1,17.77,India,0,1,2950FBA1A,17,5.0,UK,India,ACH,12342.535,0.022294402498908822,0
DF9D79089,1,20831.37,0,6.63,India,0,1,F5D34A643,60,7.0,UK,UK,Wire,14040.302,1.5643156210248106,0
68FA37C73,1,19584.82,1,1.78,UK,0,0,3830AFAE9,39,5.0,India,USA,ACH,19584.82,0.9875444520351507,0
68FA37C73,1,19523.36,1,5.22,UK,0,1,55745CE8C,84,7.0,India,UK,Credit Card,19554.09,0.9960160296001116,0
F873194E9,1,3174.23,1,22.69,USA,0,1,34953EAF0,93,5.0,Canada,USA,Credit Card,3174.23,1.087218546978882,0
F873194E9,1,58322.82,1,20.0,USA,1,1,3E6D6B34A,94,6.0,Canada,USA,Credit Card,30748.525,1.820551009789739,1
3380E3054,1,88739.76,1,20.42,India,0,0,D32169806,74,4.0,Canada,USA,ACH,88739.76,1.0126330770515923,1
3380E3054,1,45946.61,1,20.6,India,0,1,4CE3CD060,17,2.0,Canada,USA,ACH,67343.185,0.6214542249570949,1
3380E3054,1,5903.04,1,6.22,Canada,0,1,4B7C49AA8,36,5.0,Canada,UK,ACH,46863.136666666665,0.11838233322052502,0
3380E3054,1,3089.23,1,24.71,UK,0,1,95B1E909D,1,4.0,Canada,USA,Wire,35919.66,0.06660727799499803,1
3380E3054,1,68999.88,1,8.82,USA,0,1,016188FC5,89,11.0,Canada,USA,Credit Card,42535.704000000005,1.5392573636288398,0
3380E3054,1,19633.22,1,29.55,Canada,0,1,9D3446AB5,51,5.0,Canada,USA,Wire,38718.62333333334,0.5140826641300598,0
3380E3054,1,4702.29,1,27.57,India,0,1,9D8CEF610,98,2.0,Canada,UK,ACH,33859.147142857146,0.10048540815537653,0
69A8BF5F4,1,158291.91,0,7.69,India,0,0,A2874AFC0,68,7.0,USA,USA,Wire,158291.91,0.9897815134883143,1
69A8BF5F4,1,8987.21,0,24.2,Canada,0,1,A77EFDAD7,35,3.0,USA,USA,ACH,83639.56,0.09104794758809019,0
18F5C169F,1,322288.31,1,24.98,India,0,1,4A26272A0,61,4.0,USA,Switzerland,ACH,322288.31,1.0061484306346047,0
18F5C169F,1,32541.95,1,16.99,UK,0,1,9D284B8E1,36,1.0,USA,Canada,Credit Card,177415.13,0.1959667842117998,0
18F5C169F,1,93878.93,0,8.39,UK,1,1,E27D4864D,6,7.0,USA,USA,ACH,149569.73,0.715125469555598,1
18F5C169F,1,126474.29,1,25.86,USA,0,0,9517484A1,52,4.0,USA,India,Wire,143795.87,0.907464036538496,0
59154EFE4,1,1360450.15,0,13.91,USA,1,1,305A3E027,88,5.0,UK,UK,ACH,1360450.15,0.9378508237577965,1
59154EFE4,1,49911.49,0,18.39,UK,0,1,D31F96F68,100,11.0,UK,UK,ACH,705180.82,0.12313208758111593,0
59154EFE4,1,98357.87,1,24.51,USA,0,1,D217687D3,87,5.0,UK,USA,ACH,502906.50333333324,0.11082947439036066,0
59154EFE4,1,56431.43,0,19.07,UK,0,1,6645B055A,51,4.0,UK,UK,ACH,391287.7349999999,0.2298430041047516,1
59154EFE4,1,262.71,0,12.7,India,1,1,0697F50A9,78,6.0,UK,UK,ACH,313082.7299999999,-0.024897126231511215,1
59154EFE4,1,3081.67,1,29.76,India,0,0,0D05A1143,25,5.0,UK,USA,ACH,261415.8866666666,0.07168265393988982,1
59154EFE4,1,66411.67,1,3.65,UK,0,1,87778A400,74,3.0,UK,India,ACH,233558.14142857137,0.3403132066291344,0
59154EFE4,1,279998.68,1,24.88,Canada,0,1,8DE9ECB48,19,5.0,UK,USA,Credit Card,239363.20874999993,1.179320094153046,1
59154EFE4,1,13018.2,1,5.15,UK,0,1,523F117DA,75,4.0,UK,India,ACH,214213.76333333328,0.039390626695898885,0
BAB90C66E,1,6671.58,1,6.12,UAE,0,1,A535CFB60,40,10.0,USA,Canada,ACH,6671.58,1.0684197564674909,0
BAB90C66E,1,47232.22,0,2.19,India,0,1,65B003104,4,6.0,USA,USA,Credit Card,26951.9,1.8169586878613833,0
BAB90C66E,1,46325.49,0,25.99,USA,0,1,A27514AE8,91,5.0,USA,USA,ACH,33409.763333333336,1.3601157566238913,0
BAB90C66E,1,818653.86,0,10.16,USA,0,1,829FBCC54,53,3.0,USA,USA,Reinvestment,229720.7875,3.5070216645347516,0
BAB90C66E,1,82082.88,1,3.54,USA,0,1,E68326D76,33,4.0,USA,Canada,Credit Card,200193.206,0.4554345063703309,0
BAB90C66E,1,40483.01,1,15.6,USA,1,1,A0063EB7D,30,4.0,USA,India,ACH,173574.84,0.16725212167482165,1
BAB90C66E,1,801.76,1,16.09,India,0,0,59A5D5AD1,30,6.0,USA,Switzerland,Wire,148892.97142857144,-0.07412503263891054,1
BAB90C66E,1,3442.48,1,8.85,UK,0,0,E7E917D0B,28,6.0,USA,Switzerland,Wire,130711.66,0.08317732526847035,1
BAB90C66E,1,206140.42,1,12.09,UK,0,1,5D9CB8A9A,93,2.0,USA,UAE,ACH,139092.63333333333,1.5462924860278133,0
BAB90C66E,1,6582.77,1,6.83,UK,0,1,A5E1D76E0,77,12.0,USA,UK,ACH,125841.647,0.09409940030635623,0
A83EA5511,1,192675.34,1,5.52,UAE,0,1,5727BBC81,51,5.0,USA,UK,Wire,192675.34,0.9484701041676221,0
A83EA5511,1,3308.08,1,25.39,USA,0,0,4D4D95F3B,56,3.0,USA,Switzerland,ACH,97991.70999999999,0.014816349675223751,0
A83EA5511,1,9624.89,0,29.31,India,0,1,3C13841AC,61,7.0,USA,USA,Credit Card,68536.10333333333,0.16901200589681473,0
A83EA5511,1,6227.53,1,13.39,UK,0,1,979D654D9,37,7.0,USA,UK,ACH,52958.96,0.12762901727982875,0
A83EA5511,1,1618.61,0,10.02,USA,0,1,FD8227B02,80,5.0,USA,USA,Bitcoin,42690.89,0.0813430438811284,0
CA2989965,1,666711.43,1,12.12,India,1,0,1C64F5246,38,2.0,UK,USA,ACH,666711.43,0.9048510091084885,1
CA2989965,1,54632.96,1,15.29,UAE,0,0,6078F5952,65,6.0,UK,USA,Wire,360672.195,0.07284674751471372,1
CA2989965,1,1969.03,1,10.95,USA,0,1,FF7DECE11,16,6.0,UK,Canada,Wire,241104.47333333336,-0.09169411048776621,0
CA2989965,1,271196.3,1,6.79,USA,0,1,3B178F921,91,4.0,UK,India,Wire,248627.43,1.1017989346646233,0
CA2989965,1,4532.87,0,29.21,UK,0,1,15BCC1D4E,25,7.0,UK,UK,Credit Card,199808.51799999998,-0.01956858963388215,0
CA2989965,1,34872.26,1,18.7,USA,0,1,6C7493758,24,6.0,UK,USA,ACH,172319.14166666666,0.22857162936443384,0
9EF2F4E05,1,33395.8,0,29.63,Canada,0,1,D93B202DB,83,4.0,UK,UK,ACH,33395.8,0.9502263779360193,0
9EF2F4E05,1,6207.95,0,22.69,USA,0,1,53452674A,85,4.0,UK,UK,Bitcoin,19801.875,0.40858476295203705,0
9EF2F4E05,1,4256.85,1,11.35,USA,0,1,E415297D9,69,5.0,UK,USA,Bitcoin,14620.199999999999,0.23036127559903405,0
9EF2F4E05,1,34289.42,1,27.19,UK,0,1,BF5AE2C67,75,4.0,UK,USA,Bitcoin,19537.504999999997,1.8212608319720278,0
9EF2F4E05,1,20294.38,1,27.89,Canada,0,1,4E527A2F2,99,13.0,UK,India,Reinvestment,19688.879999999997,1.0889351599845807,0
9EF2F4E05,1,33075.52,1,6.54,Canada,0,1,3BF1AA88B,27,5.0,UK,Canada,Credit Card,21919.986666666664,1.4272663913347068,0
9EF2F4E05,1,4924.19,1,8.5,India,0,1,457D90876,86,6.0,UK,India,ACH,19492.015714285713,0.2603414280218917,0
9EF2F4E05,1,1432.26,1,9.29,USA,0,1,F44270132,90,5.0,UK,USA,ACH,17234.54625,0.14072084413233626,1
9EF2F4E05,1,9397.59,1,3.91,USA,0,1,2124CFFFC,85,6.0,UK,USA,ACH,16363.773333333333,0.524917783802572,1
BC541C76F,1,166375.14,1,23.85,India,0,1,04A9B2B45,33,3.0,USA,UK,ACH,166375.14,0.9120985821617534,1
BC541C76F,1,15274.83,1,9.28,Canada,0,0,926D9E814,5,3.0,USA,UAE,Wire,90824.985,0.21419946252827962,1
BC541C76F,1,150007.04,1,17.43,Canada,0,1,F7D4B77C0,35,6.0,USA,UK,Wire,110552.33666666667,1.302541930940428,0
BC541C76F,1,69798.98,1,6.15,India,0,1,404E72534,36,3.0,USA,India,Wire,100363.9975,0.7658721183898987,0
BC541C76F,1,8127.64,1,1.15,USA,0,1,C20C959DC,69,4.0,USA,Switzerland,Wire,81916.726,0.13157062539077938,0
BC541C76F,1,116483.41,0,25.33,USA,0,1,E1DDFE19D,58,5.0,USA,USA,ACH,87677.84000000001,1.3083026861603209,0
BC541C76F,1,42780.81,1,7.41,UK,1,1,E37685501,19,9.0,USA,UK,Credit Card,81263.97857142858,0.471828208557484,1
BC541C76F,1,22449.25,0,2.75,USA,0,1,3A68110A5,9,3.0,USA,USA,ACH,73912.13750000001,0.3776625979970759,0
BC541C76F,1,4219.72,1,26.55,Canada,0,1,736E99F7A,41,4.0,USA,India,ACH,66168.53555555556,0.05269493460746097,0
63809044B,1,12117.7,1,1.51,USA,0,1,98BA4B9F1,9,2.0,Canada,USA,ACH,12117.7,1.0157056941777154,0
63809044B,1,116841.11,1,17.17,Canada,0,1,E89141AB2,66,3.0,Canada,UK,Wire,64479.405,1.7385493370534038,0
63809044B,1,21275.87,1,10.16,USA,0,0,18F609747,17,7.0,Canada,India,Credit Card,50078.22666666666,0.466347878529624,0
63809044B,1,14991.59,1,26.94,Canada,0,1,35CF260FC,67,8.0,Canada,UK,ACH,41306.5675,0.3801924621020716,0
5AC8A3BD6,1,82498.78,1,15.81,USA,0,0,CF1215B8F,93,4.0,India,USA,Wire,82498.78,1.0823735416223106,0
5AC8A3BD6,1,2305.33,1,25.75,India,0,0,BE8ADD079,99,5.0,India,USA,Credit Card,42402.055,0.05368518442641738,1
3BF7E6C3D,1,883.49,0,25.4,India,0,1,657EEF7B6,37,4.0,UK,UK,Credit Card,883.49,0.9681409178412919,0
3BF7E6C3D,1,181724.46,1,21.38,UK,0,1,6C4931855,86,4.0,UK,USA,Wire,91303.97499999999,1.9069232367388966,1
3BF7E6C3D,1,7891.71,1,16.4,UK,0,1,F0B081856,84,4.0,UK,India,Credit Card,63499.88666666666,0.14081003410782147,0
3BF7E6C3D,1,125353.39,1,3.02,UK,0,1,571DFC4C4,77,6.0,UK,USA,Credit Card,78963.2625,1.4886561668550156,0
3BF7E6C3D,1,62758.94,0,6.75,USA,0,1,678B9CC45,67,6.0,UK,UK,Credit Card,75722.398,0.8192650405850215,0
3BF7E6C3D,1,28754.38,1,3.05,UK,0,0,491F39316,70,3.0,UK,USA,Wire,67894.395,0.39669605064326574,0
3BF7E6C3D,1,12443.31,1,18.84,UK,0,1,63C7B4841,8,5.0,UK,USA,Bitcoin,59972.811428571425,0.1740802940780975,0
3ACEA597B,1,11851.24,1,25.33,Canada,0,1,1B106F803,44,6.0,USA,UK,ACH,11851.24,0.9244133831424408,0
3ACEA597B,1,8986.74,0,20.35,UK,0,1,28FFBB529,15,6.0,USA,USA,Credit Card,10418.99,0.7852795940623469,0
3ACEA597B,1,233817.94,0,18.06,USA,0,0,143120234,32,2.0,USA,USA,ACH,84885.30666666667,2.851512875386638,1
3ACEA597B,1,9644.39,0,6.5,USA,0,0,874C9992E,27,9.0,USA,USA,Credit Card,66075.0775,0.09712654106541663,0
5B4C30084,1,18824.55,1,9.58,USA,0,1,DEE471BE3,94,3.0,UK,USA,Wire,18824.55,0.9957455364717229,0
5B4C30084,1,8661.17,1,26.18,UK,0,1,AE3506F1C,64,7.0,UK,USA,ACH,13742.86,0.7017622912218696,0
8D3103FF6,1,3497.82,0,10.86,UK,0,1,E4CCB3945,91,0.01,UK,UK,Wire,3497.82,1.0280154997466058,0
8D3103FF6,1,14757.99,1,25.16,UK,0,0,2ABB3AC6F,23,4.0,UK,USA,Wire,9127.905,1.629618945929869,0
8D3103FF6,1,51506.46,0,23.61,UK,0,1,FF5F0F67C,49,3.0,UK,UK,Wire,23254.09,2.2299961198909792,0
8D3103FF6,1,11687.93,1,21.91,Canada,1,1,10E9A539A,83,9.0,UK,USA,ACH,20362.550000000003,0.6261531728557297,1
8D3103FF6,1,67832.4,1,17.29,USA,1,1,BC0E7A476,62,4.0,UK,USA,ACH,29856.52,2.2399995330173046,0
8D3103FF6,1,1890.68,1,26.37,UK,0,1,760F67AD5,40,6.0,UK,Canada,Reinvestment,25195.546666666665,0.08667844270077943,0
8D3103FF6,1,38364.26,0,17.92,India,0,1,5B2CD503A,59,4.0,UK,UK,Credit Card,27076.79142857143,1.4550624506849108,0
